primaryTitle,gross
Cars 2,559853036
King Kong,556906378
Puss in Boots,554987477
The Mermaid,553810228
Armageddon,553712773
The Day After Tomorrow,552639571
Ted,549368315
American Sniper,547659020
Mission: Impossible II,546388108
Kung Fu Panda 4,544771746
Detective Chinatown 2,544185156
X-Men: Apocalypse,543934105
Sherlock Holmes: A Game of Shadows,543848418
Despicable Me,543284256
Cinderella,542358331
Madagascar,542063846
World War Z,540455876
The Grinch,540029016
Brave,538983207
Star Wars: Episode V - The Empire Strikes Back,538375067
The Simpsons Movie,536414293
The Revenant,532950503
Dunkirk,530432122
The Meg,529338515
Ralph Breaks the Internet,529323962
Hotel Transylvania 3,528583774
The Boss Baby,527965936
WALL�E,527402840
Godzilla,524978362
How to Train Your Dragon: The Hidden World,524581026
Sherlock Holmes,524028679
Meet the Fockers,522657936
Kung Fu Panda 3,521170825
Terminator 2: Judgment Day,520881154
Ant-Man,519311965
Venom: Let There Be Carnage,506863592
Ghost,505703557
Aladdin,504050219
Rio 2,498781117
Troy,497409852
Toy Story 2,497375381
Elemental,496444308
How to Train Your Dragon,494879860
Twister,494580615
Oz the Great and Powerful,493311825
Clash of the Titans,493214993
Maleficent: Mistress of Evil,491730089
