primaryTitle,startYear,runtimeMinutes,genres,numVotes,averageRating,r1,r2
Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy",907071,8,113,92
Toy Story 3,2010,103,"Adventure,Animation,Comedy",906737,8,114,93
Dune: Part One,2021,155,"Action,Adventure,Drama",904830,8,115,94
The Grand Budapest Hotel,2014,99,"Adventure,Comedy,Crime",901539,8,116,95
A Clockwork Orange,1971,136,"Crime,Sci-Fi",892756,8,117,97
The Revenant,2015,156,"Action,Adventure,Drama",888797,8,118,98
The Hobbit: An Unexpected Journey,2012,169,"Adventure,Fantasy",885371,8,119,100
Slumdog Millionaire,2008,120,"Crime,Drama,Romance",884510,8,120,101
300,2006,117,"Action,Drama",874747,8,121,103
Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy",872105,8,122,105
The Big Lebowski,1998,117,"Comedy,Crime",871928,8,123,106
Once Upon a Time... in Hollywood,2019,161,"Comedy,Drama",871344,8,124,108
Gravity,2013,91,"Drama,Sci-Fi,Thriller",870642,8,125,109
Captain America: Civil War,2016,147,"Action,Sci-Fi",866017,8,126,110
Donnie Darko,2001,113,"Drama,Mystery,Sci-Fi",862587,8,127,111
Logan,2017,137,"Action,Drama,Sci-Fi",861396,8,129,113
Star Wars: Episode III - Revenge of the Sith,2005,140,"Action,Adventure,Fantasy",859647,8,130,114
Ratatouille,2007,111,"Adventure,Animation,Comedy",848795,8,131,116
Black Swan,2010,108,"Drama,Thriller",838507,8,132,117
The Imitation Game,2014,114,"Biography,Drama,Thriller",835910,8,133,118
Blade Runner,1982,117,"Action,Drama,Sci-Fi",834966,8,134,119
Prisoners,2013,153,"Crime,Drama,Mystery",832675,8,135,120
Thor: Ragnarok,2017,130,"Action,Adventure,Comedy",831595,8,136,121
Inside Out,2015,95,"Adventure,Animation,Comedy",830401,8,137,122
The Incredibles,2004,115,"Action,Adventure,Animation",827102,8,138,124
Gran Torino,2008,116,Drama,824009,8,139,126
Indiana Jones and the Last Crusade,1989,127,"Action,Adventure",821342,8,140,127
Doctor Strange,2016,115,"Action,Adventure,Fantasy",820646,8,141,128
Kill Bill: Vol. 2,2004,137,"Action,Crime,Thriller",819375,8,142,130
The Batman,2022,176,"Action,Crime,Drama",816200,8,143,131
How to Train Your Dragon,2010,98,"Action,Adventure,Animation",815670,8,144,132
Amélie,2001,122,"Comedy,Romance",803670,8,145,134
Full Metal Jacket,1987,116,"Drama,War",802640,8,146,135
Oppenheimer,2023,180,"Biography,Drama,History",799378,8,147,136
Sin City,2005,124,"Crime,Thriller",799033,8,148,137
Knives Out,2019,130,"Comedy,Crime,Drama",790211,8,149,138
Arrival,2016,116,"Drama,Mystery,Sci-Fi",789001,8,150,139
Guardians of the Galaxy Vol. 2,2017,136,"Action,Adventure,Comedy",773430,8,152,142
The Social Network,2010,120,"Biography,Drama",771038,8,153,144
Dunkirk,2017,106,"Action,Drama,History",752955,8,155,149
12 Years a Slave,2013,134,"Biography,Drama,History",750116,8,157,151
Shrek,2001,90,"Adventure,Animation,Comedy",749486,8,158,152
Silver Linings Playbook,2012,122,"Comedy,Drama,Romance",749357,8,159,153
American Psycho,2000,102,"Crime,Drama,Horror",741883,8,160,154
Skyfall,2012,143,"Action,Adventure,Thriller",738366,8,161,155
Fargo,1996,98,"Crime,Thriller",736851,8,162,156
X-Men: First Class,2011,131,"Action,Sci-Fi",735591,8,163,157
Trainspotting,1996,93,Drama,735058,8,164,159
Heat,1995,170,"Action,Crime,Drama",732322,8,165,163
Top Gun: Maverick,2022,130,"Action,Drama",732123,8,166,164
Kingsman: The Secret Service,2014,129,"Action,Adventure,Comedy",731891,8,167,165
2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",731782,8,169,167
Million Dollar Baby,2004,132,"Drama,Sport",730342,8,170,169
Get Out,2017,104,"Horror,Mystery,Thriller",725855,8,171,171
Apocalypse Now,1979,147,"Drama,Mystery,War",721314,8,174,174
